name,price,description,stock quantity,category
Gorgeous Wooden Lamp,38.38,Molestiae commodi autem ducimus ut possimus.,4317,Shoes
Heavy Duty Leather Hat,37.03,Vel non sit sunt ratione libero incidunt quam ut molestiae.,508,Shoes
Durable Silk Knife,5.11,Et aut ratione vel omnis molestiae earum qui.,2737,Shoes
Rustic Aluminum Watch,32.77,Dolor repudiandae velit nihil ullam occaecati eos perspiciatis.,3859,Shoes
Synergistic Iron Knife,68.45,Est enim reiciendis voluptatibus aut accusantium provident autem eaque.,3258,Shoes
Mediocre Rubber Plate,23.84,Porro ipsa beatae quaerat alias vero laboriosam.,3166,Shoes
Heavy Duty Plastic Watch,70.07,Beatae consequatur nam architecto ea.,145,Shoes
Mediocre Paper Shoes,57.17,Soluta aut et repellendus ratione inventore quia.,1963,Shoes
Durable Wool Plate,84.13,Fuga inventore architecto aut laboriosam excepturi est harum occaecati quas.,2908,Shoes
Durable Cotton Shirt,33.54,Sint inventore perspiciatis vero enim quibusdam eos dolores.,1630,Shoes
Small Wooden Watch,42.25,Eligendi adipisci ad et corporis dolorem quia.,734,Shoes
Practical Wool Hat,16.87,Aperiam tenetur maiores hic officiis est labore autem.,4012,Shoes
Small Granite Car,8.68,Eum atque et et hic quia dolorum sint.,2675,Shoes
Gorgeous Iron Gloves,22.45,Aliquid molestiae quia ut officia voluptatibus.,3062,Shoes
Heavy Duty Steel Pants,43.38,Tempora enim error pariatur unde reiciendis.,4460,Shoes
Aerodynamic Wool Bottle,71.11,Rerum delectus quia repudiandae quia sit animi quo modi velit.,4325,Shoes
Enormous Plastic Bench,42.93,Aspernatur cupiditate officia quaerat sint dolorem qui neque.,467,Shoes
Intelligent Rubber Chair,65.85,Est officiis saepe nihil illo et excepturi laudantium necessitatibus facilis.,1542,Shoes
Enormous Iron Coat,5.54,Placeat dolor at error exercitationem enim commodi id aut.,4810,Shoes
Durable Iron Coat,50.18,Magnam earum dolor labore voluptas quo ab eum vitae et.,546,Shoes
Ergonomic Aluminum Computer,36.51,Inventore voluptatem illo accusamus reiciendis natus.,2441,Shoes
Heavy Duty Rubber Keyboard,4.24,Voluptate commodi qui beatae reprehenderit rerum et soluta.,3795,Shoes
Sleek Paper Clock,30.71,Voluptas quo earum excepturi consequuntur tenetur.,1045,Shoes
